,Отметка времени,Асгард [.],Видео [.],Бизнесс аппс [.],Мобильный приложение  [.],Железо [.],Серийный номер,Тип устройства,Другое,Вопрос без заголовка [Ряд 2],Вопрос без заголовка [Ряд 3],counter
246,2024-05-14 12:41:31,,Прошивка камеры,,,,214813257319441,Домофон,,,,0
247,2024-05-14 12:41:40,Оффлайн,,,,,2401155436,Домофон,,,,0
248,2024-05-14 12:41:48,,Прошивка камеры,,,,201811500120181,Домофон,,,,0
249,2024-05-14 12:42:03,,Прошивка камеры,,,,EF000000006DCA33,Камера,,,,0
250,2024-05-14 12:42:32,,,,Прочие,,2121124557,Домофон,задержка видео,,,0
251,2024-05-14 12:42:49,,,,Нет приходят звонки,,2208135393,Домофон,,,,0
252,2024-05-14 12:43:08,,,,,Не приходят звонки на ТАП,2235148512,Домофон,,,,0
253,2024-05-14 12:43:09,,Нет видео,,,,2348252138,Домофон,,,,0
254,2024-05-14 12:43:27,,Нет видео,,,,2236150616,Домофон,,,,0
255,2024-05-14 12:43:50,Оффлайн,,,,Оффлайн,2018110080,Домофон,,,,0
256,2024-05-14 12:44:56,,Нет видео,,,,2348251584,Домофон,,,,0
257,2024-05-14 12:45:15,,Нет видео,,,,1944104079,Домофон,,,,0
258,2024-05-14 12:45:34,Оффлайн,,,,Оффлайн,2208135150,Домофон,,,,0
259,2024-05-14 12:45:51,,Нет видео,,,,2348251473,Домофон,,,,0
260,2024-05-14 12:46:31,,,,,,2235145594,Домофон,смена диапазона,,,0
261,2024-05-14 12:47:04,,,,,Не приходят звонки на ТАП,2236149785,Домофон,,,,0
262,2024-05-14 12:47:13,,Нет видео,,,,2352154087,Домофон,,,,0
263,2024-05-14 12:47:19,,,,,,2236150916,Домофон,удалить код,,,0
264,2024-05-14 12:48:26,,Нет видео,,,,2018113800,Домофон,,,,0
265,2024-05-14 12:48:33,,Нет видео,,,,2401155594,Домофон,,,,0
266,2024-05-14 12:48:49,,,,,,2401155110,Камера,"В приложении нет видео, с камеры видео передается",,,0
267,2024-05-14 12:48:55,Оффлайн,,,,Оффлайн,2401155508,Домофон,,,,0
268,2024-05-14 12:49:10,,Нет видео,,,,2330153203,Домофон,,,,0
269,2024-05-14 12:49:18,,,,,Не приходят звонки на ТАП,2235147886,Домофон,,,,0
270,2024-05-14 12:49:32,,Прошивка камеры,,,,2125127999,Домофон,,,,0
271,2024-05-14 12:49:33,,Нет видео,,,,2330153200,Домофон,,,,1
272,2024-05-14 12:49:43,,Нет видео,,,,2235144343,Домофон,,,,0
273,2024-05-14 12:49:50,,,,,Не приходят звонки на ТАП,2235146214,Домофон,,,,0
274,2024-05-14 12:50:04,,Нет видео,,,,nan,Домофон,,,,0
275,2024-05-14 12:50:10,,Нет видео,,,,2235145073,Домофон,,,,0
276,2024-05-14 12:50:27,,,Неверное количество ключей,,,2235142136,Домофон,,,,0
277,2024-05-14 12:50:38,,,Неверное количество ключей,,,2235141892,Домофон,,,,0
278,2024-05-14 12:50:48,,,Неверное количество ключей,,,2235142292,Домофон,,,,0
279,2024-05-14 12:51:09,,,,,,2235142136,Домофон,прошивка,,,0
280,2024-05-14 12:51:25,,,,,,2235141892,Домофон,прошивка панели,,,0
281,2024-05-14 12:51:40,,,,,,2235142292,Домофон,прошивка панели,,,0
282,2024-05-14 12:54:05,,Нет видео,,,,2348252226,Домофон,по панели,,,0
283,2024-05-14 12:54:22,,Нет видео,,,,2348252227,Домофон,по панели,,,0
284,2024-05-14 12:54:46,,,,,,2121125514,Домофон,Второй адрес,,,0
285,2024-05-14 12:56:17,,Нет видео,,,,2348252225,Домофон,обновить по панели,,,0
286,2024-05-14 12:56:32,,,,,,2348252224,Домофон,обновить по панели,,,0
287,2024-05-14 12:56:42,,Нет видео,,,,2348252226,Домофон,,,,0
288,2024-05-14 12:57:01,,Нет видео,,,,1921100417,Домофон,,,,0
289,2024-05-14 12:57:15,,,,,Проблема со звуком,2352154773,Домофон,,,,0
290,2024-05-14 12:57:16,,,,,,2235145686,Домофон,Приходят звонки с других квартир,,,0
